"sample","taxon_id","presence","site"
"01_03","g__Alaimus",0,1
"01_03","g__Allodorylaimus",0,1
"01_03","g__Aphelenchoides",0,1
"01_03","g__Aporcelaimellus",0,1
"01_03","g__Astatumen",0,1
"01_03","g__Attheyella",0,1
"01_03","g__Baicalellia",0,1
"01_03","g__Bastiania",0,1
"01_03","g__Bertolanius",0,1
"01_03","g__Bryocamptus",0,1
"01_03","g__Bunonema",1,1
"01_03","g__Cephalenchus",0,1
"01_03","g__Cernosvitoviella",0,1
"01_03","g__Chaetonotus",1,1
"01_03","g__Choriorhabditis",0,1
"01_03","g__Chrysonema",0,1
"01_03","g__Clarkus",0,1
"01_03","g__Collotheca",0,1
"01_03","g__Coslenchus",0,1
"01_03","g__Crassolabium",0,1
"01_03","g__Criconema",1,1
"01_03","g__Cylindrolaimus",0,1
"01_03","g__Cyrthermannia",1,1
"01_03","g__Didymodactylos",1,1
"01_03","g__Diphascon",0,1
"01_03","g__Diplogasteroides",0,1
"01_03","g__Discotylenchus",0,1
"01_03","g__Ditylenchus",0,1
"01_03","g__Ecphyadophora",0,1
"01_03","g__Enchodelus",0,1
"01_03","g__Ethmolaimus",0,1
"01_03","g__Eudorylaimus",1,1
"01_03","g__Eumonhystera",1,1
"01_03","g__Euteratocephalus",0,1
"01_03","g__Filenchus",1,1
"01_03","g__Floscularia",0,1
"01_03","g__Foveacheles",0,1
"01_03","g__Friesea",0,1
"01_03","g__Geminoppia",0,1
"01_03","g__Geocentrophora",0,1
"01_03","g__Geomonhystera",0,1
"01_03","g__Haliplectus",0,1
"01_03","g__Helicotylenchus",0,1
"01_03","g__Hemienchytraeus",0,1
"01_03","g__Hermannia",0,1
"01_03","g__Heterolepidoderma",0,1
"01_03","g__Howardula",0,1
"01_03","g__Hypogastrura",0,1
"01_03","g__Ironus",0,1
"01_03","g__Isohypsibius",0,1
"01_03","g__Itunella",0,1
"01_03","g__Labidostomma",0,1
"01_03","g__Liochthonius",0,1
"01_03","g__Lumbricus",0,1
"01_03","g__Macrobiotus",0,1
"01_03","g__Malthodes",0,1
"01_03","g__Marionina",1,1
"01_03","g__Mesenchytraeus",0,1
"01_03","g__Mesobiotus",0,1
"01_03","g__Mesocriconema",0,1
"01_03","g__Mesocrista",1,1
"01_03","g__Metateratocephalus",1,1
"01_03","g__Microplana",0,1
"01_03","g__Mononchus",0,1
"01_03","g__Notholca",0,1
"01_03","g__Nothrus",0,1
"01_03","g__Nygolaimus",0,1
"01_03","g__Odontolaimus",0,1
"01_03","g__Onychiurus",0,1
"01_03","g__Oribatula",0,1
"01_03","g__Palaeacarus",0,1
"01_03","g__Paraphanolaimus",0,1
"01_03","g__Paravulvus",0,1
"01_03","g__Pergamasus",0,1
"01_03","g__Pheromermis",0,1
"01_03","g__Poecilochirus",0,1
"01_03","g__Prismatolaimus",1,1
"01_03","g__Pristionchus",0,1
"01_03","g__Prodesmodora",0,1
"01_03","g__Proleptonchus",0,1
"01_03","g__Protaphorura",0,1
"01_03","g__Rhabditophanes",0,1
"01_03","g__Rhabdolaimus",0,1
"01_03","g__Rotylenchus",0,1
"01_03","g__Sphaeronema",0,1
"01_03","g__Stenonchulus",0,1
"01_03","g__Theristus",1,1
"01_03","g__Trachytes",0,1
"01_03","g__Tripyla",0,1
"01_03","g__Tritegeus",0,1
"01_03","g__Tylencholaimus",0,1
"01_03","g__Tylolaimophorus",1,1
"01_03","g__Veigaia",0,1
"01_03","g__Zeatylenchus",0,1
"01_03","o__Bdelloida",1,1
"01_03","o__Psocodea",0,1
"01_03","o__Rhabdocoela",0,1
"01_03","o__Tricladida",0,1
"01_03","s__Achipteria coleoptrata",0,1
"01_03","s__Acrochordonoposthia conica",0,1
"01_03","s__Aglenchus agricola",0,1
"01_03","s__Aphelenchus avenae",0,1
"01_03","s__Arion ater",0,1
"01_03","s__Atopochthonius artiodactylus",0,1
"01_03","s__Basiria duplexa",0,1
"01_03","s__Buchholzia appendiculata",0,1
"01_03","s__Catenula turgida",1,1
"01_03","s__Cernosvitoviella aggtelekiensis",0,1
"01_03","s__Cernosvitoviella atrata",1,1
"01_03","s__Cernosvitoviella minor",0,1
"01_03","s__Dicyrtomina saundersi",0,1
"01_03","s__Enchodeloides signyensis",0,1
"01_03","s__Enchytraeus crypticus",0,1
"01_03","s__Filenchus misellus",0,1
"01_03","s__Folsomia candida",0,1
"01_03","s__Gnathorhynchus inermis",0,1
"01_03","s__Howardula phyllotretae",0,1
"01_03","s__Hrabeiella periglandulata",0,1
"01_03","s__Hypochthonius rufulus",0,1
"01_03","s__Hypsibius dujardini",0,1
"01_03","s__Ichthydium skandicum",0,1
"01_03","s__Isotomiella minor",0,1
"01_03","s__Lepidodermella intermedia",0,1
"01_03","s__Macrobiotus hufelandi",0,1
"01_03","s__Microdalyellia armigera",0,1
"01_03","s__Microplana fuscomaculosa",0,1
"01_03","s__Microplana kwiskea",0,1
"01_03","s__Microplana terrestris",0,1
"01_03","s__Naiadacarus arboricola",0,1
"01_03","s__Neanura muscorum",0,1
"01_03","s__Nemastoma bimaculatum",0,1
"01_03","s__Olisthanella truncula",0,1
"01_03","s__Oppiella nova",0,1
