,microhabitat,feeding_guild,secondary_guilds,moisture_pref,size_class,phylum,class,order,family,genus,species
g__Odontolaimus,he,b,,h,micro,Nematoda,NA,Triplonchida,Odontolaimidae,Odontolaimus,NA
g__Paraphanolaimus,aq,b,,h,micro,Nematoda,Chromadorea,Plectida,Aphanolaimidae,Paraphanolaimus,Paraphanolaimus behningi
g__Prismatolaimus,he,b,,m,micro,Nematoda,NA,Triplonchida,Prismatolaimidae,Prismatolaimus,NA
g__Prodesmodora,aq,b,,h,micro,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Prodesmodora,Prodesmodora circulata
g__Rhabditophanes,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Alloionematidae,Rhabditophanes,NA
g__Rhabdolaimus,he,b,,h,micro,Nematoda,Enoplea,Enoplida,Rhabdolaimidae,Rhabdolaimus,Rhabdolaimus aquaticus
g__Stenonchulus,ep,b,,m,micro,Nematoda,NA,Triplonchida,Onchulidae,Stenonchulus,Stenonchulus troglodytes
s__Teratocephalus lirellus,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Teratocephalidae,Teratocephalus,Teratocephalus lirellus
s__Teratocephalus terrestris,he,b,,m,micro,Nematoda,Chromadorea,Rhabditida,Teratocephalidae,Teratocephalus,Teratocephalus terrestris
g__Theristus,aq,b,,h,micro,Nematoda,Chromadorea,Monhysterida,Xyalidae,Theristus,Theristus agilis
g__Tylolaimophorus,he,b,,h,micro,Nematoda,NA,Triplonchida,Diphtherophoridae,Tylolaimophorus,Tylolaimophorus typicus
s__Acrochordonoposthia conica,ep,c,,m,micro,Platyhelminthes,Rhabditophora,Rhabdocoela,Typhloplanidae,Acrochordonoposthia,Acrochordonoposthia conica
f__Anystidae,ep,c,,m,meso,Arthropoda,Arachnida,Trombidiformes,Anystidae,Anystis,NA
g__Aporcelaimellus,eu,c,,m,micro,Nematoda,Enoplea,Dorylaimida,Aporcelaimidae,Aporcelaimellus,NA
f__Bdellidae,ep,c,,m,meso,Arthropoda,Arachnida,Trombidiformes,Bdellidae,Bdellodes,NA
g__Clarkus,he,c,,m,micro,Nematoda,Enoplea,Mononchida,Mononchidae,Clarkus,NA
g__Crassolabium,eu,c,,m,micro,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,Crassolabium,NA
g__Euteratocephalus,he,c,,h,micro,Nematoda,Chromadorea,Plectida,Metateratocephalidae,Euteratocephalus,Euteratocephalus palustris
f__Eviphididae,he,c,,m,micro,Arthropoda,Arachnida,Mesostigmata,Eviphididae,Eviphis,NA
g__Foveacheles,ep,c,,m,micro,Arthropoda,Arachnida,Trombidiformes,Rhagidiidae,Foveacheles,NA
g__Labidostomma,ep,c,,m,meso,Arthropoda,Arachnida,Trombidiformes,Labidostommidae,Labidostomma,Labidostomma luteum
f__Macrochelidae,he,c,,m,meso,Arthropoda,Arachnida,Mesostigmata,Macrochelidae,Macrocheles,NA
g__Malthodes,ep,c,,m,meso,Arthropoda,Insecta,Coleoptera,Cantharidae,Malthodes,Malthodes simplipygus
g__Metateratocephalus,he,c,,h,micro,Nematoda,Chromadorea,Plectida,Metateratocephalidae,Metateratocephalus,Metateratocephalus crassidens
g__Microplana,ep,c,,m,meso,Platyhelminthes,NA,Tricladida,Geoplanidae,Microplana,NA
s__Microplana fuscomaculosa,ep,c,,m,meso,Platyhelminthes,NA,Tricladida,Geoplanidae,Microplana,Microplana fuscomaculosa
s__Microplana kwiskea,ep,c,,m,meso,Platyhelminthes,NA,Tricladida,Geoplanidae,Microplana,Microplana kwiskea
s__Microplana terrestris,ep,c,,m,meso,Platyhelminthes,NA,Tricladida,Geoplanidae,Microplana,Microplana terrestris
g__Mononchus,he,c,,m,micro,Nematoda,NA,Mononchida,Mononchidae,Mononchus,Mononchus aquaticus
f__Labidostommatidae,ep,c,,m,meso,Arthropoda,Arachnida,Trombidiformes,Labidostommatidae,NA,NA
f__Rhagidiidae,ep,c,,m,micro,Arthropoda,Arachnida,Trombidiformes,Rhagidiidae,NA,NA
o__Tricladida,ep,c,,m,macro,Platyhelminthes,Turbellaria,Tricladida,Continenticola,NA,NA
g__Nygolaimus,he,c,,m,micro,Nematoda,Enoplea,Dorylaimida,Nygolaimidae,Nygolaimus,NA
